X,Y,osm_id,name,place_type,category,text_des,label
29.9982302,31.2654734,1179095077,الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري,University,Education,"تقع الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
29.9917679,31.2636249,1179121562,مستشفى ماري مرقص,Hospital,Health,"تقع مستشفى ماري مرقص في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.9473667,30.0569464,1224903975,Beverly Hills schools,School,Education,"تقع Beverly Hills schools في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3473432,30.0637093,1438270139,منظمه الصحه العالمية,Hospital,Health,"تقع منظمه الصحه العالمية في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
34.5146113,28.4891647,1470794916,El Kabany Language School,School,Education,"تقع El Kabany Language School في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3292776,30.0941075,1656013830,مدرسة الفرير - مصر الجديدة,School,Education,"تقع مدرسة الفرير - مصر الجديدة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9408078,31.2258268,1698478723,Mostafa Kamel Hospital,Hospital,Health,"تقع Mostafa Kamel Hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.4679359,30.8814697,1824897702,مدرسة البستان الإبتدائية,School,Education,"تقع مدرسة البستان الإبتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4705462,30.88133,1824902180,مدرسة البستان الإعدادية بنين,School,Education,"تقع مدرسة البستان الإعدادية بنين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4575289,30.8874869,1824903882,مدرسة أحمد لطفي السيد الثانوية بنين,School,Education,"تقع مدرسة أحمد لطفي السيد الثانوية بنين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4570783,30.8884076,1824904304,مدرسة ابن الوليد الإبتدائية,School,Education,"تقع مدرسة ابن الوليد الإبتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4567832,30.8889462,1824904536,مدرسة ناصر الثانوية التجارية المشتركة,School,Education,"تقع مدرسة ناصر الثانوية التجارية المشتركة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4564506,30.8896966,1824904546,مدرسة السنبلاوين الثانوية بنات,School,Education,"تقع مدرسة السنبلاوين الثانوية بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.0620238,31.3096754,1837096771,مدرسة الشهيد حسين طه,School,Education,"تقع مدرسة الشهيد حسين طه في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.0599655,31.3026351,1840688410,إدارة المنتزة التعليمية,School,Education,"تقع إدارة المنتزة التعليمية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9275717,31.2052904,1844289361,معهد البحوث الطبيه,Hospital,Health,"تقع معهد البحوث الطبيه في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
29.9286838,31.2043914,1844290834,مستشفي المواساه,Hospital,Health,"تقع مستشفي المواساه في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7643128,28.0912713,1888411221,بنك الدم الإقليمى,Hospital,Health,"تقع بنك الدم الإقليمى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7645596,28.0916688,1888411228,معهد الأورام,Hospital,Health,"تقع معهد الأورام في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7624353,28.0841913,1888411235,مستوصف الجمعية الشرعية,Hospital,Health,"تقع مستوصف الجمعية الشرعية في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7636369,28.0844184,1888411243,مدرسة السعيدية الابتدائية,School,Education,"تقع مدرسة السعيدية الابتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.7629395,28.084248,1888411246,مدرسة محمد فريد الإبتدائية,School,Education,"تقع مدرسة محمد فريد الإبتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.7618452,28.0840303,1888411263,مدرسة الإسلامية الخاصة,School,Education,"تقع مدرسة الإسلامية الخاصة في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.759458,28.0965337,1888451891,مستشفى المبرة,Hospital,Health,"تقع مستشفى المبرة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7513548,28.1039254,1891633308,اللغات,School,Education,"تقع اللغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.1896206,30.0540358,1920589480,مركز عدن الطبى,Hospital,Health,"تقع مركز عدن الطبى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2092094,29.9972489,1939482580,مكتب شئون العضوية النقابة العامة للبناء والأخشاب,Hospital,Health,"تقع مكتب شئون العضوية النقابة العامة للبناء والأخشاب في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2122779,29.9983941,1939544659,مدرسة الصناعية للبنات,School,Education,"تقع مدرسة الصناعية للبنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2123288,29.9979295,1939562321,مدرسة أحمد شوقى الاعدادية بنات,School,Education,"تقع مدرسة أحمد شوقى الاعدادية بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.9850089,29.9860029,1940836168,مدرسة الدلتا للغات,School,Education,"تقع مدرسة الدلتا للغات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2092077,29.999781,1956718704,مدرسة وجيه البغدادى الثانوية بنات,School,Education,"تقع مدرسة وجيه البغدادى الثانوية بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
34.4329047,28.0347708,2001022531,Nabq Dental Clinic,Hospital,Health,"تقع Nabq Dental Clinic في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.4551468,30.8805114,2007846786,مدرسة الشهيد الشقرى الابتدائية,School,Education,"تقع مدرسة الشهيد الشقرى الابتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4527121,30.8814103,2007850659,مدرسة السلام الاعدادية بنين,School,Education,"تقع مدرسة السلام الاعدادية بنين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4523098,30.8812492,2007851962,مدرسة التربية الفكرية بالسنبلاوين,School,Education,"تقع مدرسة التربية الفكرية بالسنبلاوين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.454616,30.8864547,2007853321,مدرسة السادات الثانويه بنين,School,Education,"تقع مدرسة السادات الثانويه بنين في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4551253,30.8863629,2007856604,Al-Sunbullawayn Language School,School,Education,"تقع Al-Sunbullawayn Language School في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4574967,30.8844477,2007861753,Makka Hospital,Hospital,Health,"تقع Makka Hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2281767,30.0302242,2061898503,كلية الطب القصر العيني,School,Education,"تقع كلية الطب القصر العيني في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2048411,29.9982872,2110727784,مدرسة الحسينية,School,Education,"تقع مدرسة الحسينية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2206045,30.0644988,2229263081,Port Said Schools,School,Education,"تقع Port Said Schools في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9977695,31.2659303,2245257694,Saint Vincent,School,Education,"تقع Saint Vincent في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3086855,30.129727,2268005941,مدرسة عمار بن ياسر,School,Education,"تقع مدرسة عمار بن ياسر في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3148116,30.1371548,2268005942,مجمع الشعراوى,School,Education,"تقع مجمع الشعراوى في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3086372,30.1300843,2268005944,البنات الاعدادية,School,Education,"تقع البنات الاعدادية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3077521,30.1269386,2268006755,مستشفى النور المحمدى,Hospital,Health,"تقع مستشفى النور المحمدى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3139962,30.1333088,2268006756,مستشفى الحق,Hospital,Health,"تقع مستشفى الحق في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.4580854,31.0428488,2269265329,مدرسة الفكرية,School,Education,"تقع مدرسة الفكرية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
34.2279393,31.2562276,2297109152,مستشفى رفح,Hospital,Health,"تقع مستشفى رفح في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3435107,30.0975208,2312625782,ليسبه الحرية,School,Education,"تقع ليسبه الحرية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
34.7926172,29.3925571,2429005805,El Wekala Medical Centre,Hospital,Health,"تقع El Wekala Medical Centre في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7558824,28.1024495,2445781992,الزهراء الإبتدائية,School,Education,"تقع الزهراء الإبتدائية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.7380609,30.2921747,2524251214,مدرسة السادات الثانوية بنات,School,Education,"تقع مدرسة السادات الثانوية بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.7566488,30.2917256,2524331007,مستشفى خميس التخصصي,Hospital,Health,"تقع مستشفى خميس التخصصي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.9337571,29.9667244,2549916507,د.محمد البراغى,Hospital,Health,"تقع د.محمد البراغى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.9345898,29.9653218,2549944486,مركز الهادى لتعليم قيادة السيارات,School,Education,"تقع مركز الهادى لتعليم قيادة السيارات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
30.9437865,29.9730095,2550066152,مركز الحصرى الصحى,Hospital,Health,"تقع مركز الحصرى الصحى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3962588,30.1457209,2621105516,Gohar School,School,Education,"تقع Gohar School في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3955566,30.1459715,2621106542,Gohar Hospital,Hospital,Health,"تقع Gohar Hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
29.9532423,31.2291897,2707487109,I Can Read Academy,School,Education,"تقع I Can Read Academy في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
32.2626943,30.5902189,2722597993,عيادة الدكتور عبد الحميد صبح,Hospital,Health,"تقع عيادة الدكتور عبد الحميد صبح في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
29.9753602,31.2504795,2928323670,كلية الإقبال القومية - بنات,School,Education,"تقع كلية الإقبال القومية - بنات في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9623625,31.2357888,3051834198,مدرسة النوتردام دى سيون,School,Education,"تقع مدرسة النوتردام دى سيون في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9377817,31.2115555,3051842573,مدرسة محمد كريم,School,Education,"تقع مدرسة محمد كريم في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
29.9203675,31.1993278,3051869674,مدرسة وابور المياه,School,Education,"تقع مدرسة وابور المياه في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3656479,31.0453946,3118523495,مستشفى الجزيرة الدولى - السلاب,Hospital,Health,"تقع مستشفى الجزيرة الدولى - السلاب في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3655295,31.0444348,3118641469,مركز عابد للعظام,Clinic,Health,"تقع مركز عابد للعظام في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.3886277,31.0475408,3119668295,Al-Hekma Hospital,Hospital,Health,"تقع Al-Hekma Hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.338523,30.1042297,3157884695,مستشفي الدعاة,Hospital,Health,"تقع مستشفي الدعاة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2143358,30.0414944,3208430197,Finy hospital,Hospital,Health,"تقع Finy hospital في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2144598,30.0374677,3214300154,مستشفى 6 اكتوبر,Hospital,Health,"تقع مستشفى 6 اكتوبر في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2516212,30.092295,3220003324,Ahmed Orabi,School,Education,"تقع Ahmed Orabi في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.2191221,30.0611031,3232998041,City International School,School,Education,"تقع City International School في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.3534174,30.5196212,3290355573,ibarhim shabaan pharmacy,Hospital,Health,"تقع ibarhim shabaan pharmacy في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.4224834,30.0039967,3395906136,مركز الطبيب,Hospital,Health,"تقع مركز الطبيب في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
29.9923347,31.2620088,3458193051,مستشفى شرق المدينة,Hospital,Health,"تقع مستشفى شرق المدينة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3088915,29.9894551,3521404376,مدرسة دار لقمان الحكيم الدولية,School,Education,"تقع مدرسة دار لقمان الحكيم الدولية في القاهرة، مصر. نوع المنطقة: مدرسة. البيانات من OpenStreetMap.",0
31.4675882,30.6726112,3748661346,مستشفى فرسيس,Hospital,Health,"تقع مستشفى فرسيس في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3888576,30.1184005,3841179277,مركز الفحص الطبى لادارة الطيران الأمريكية FAA,Clinic,Health,"تقع مركز الفحص الطبى لادارة الطيران الأمريكية FAA في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.3889072,30.1183228,3841179278,مركز الفحص الطبى للطيران المدنى ICAO,Clinic,Health,"تقع مركز الفحص الطبى للطيران المدنى ICAO في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
29.9580884,31.2376371,3893917394,مستشفى إبراهيم عبيد التخصصي,Hospital,Health,"تقع مستشفى إبراهيم عبيد التخصصي في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2538297,30.088695,3949929966,Nasr el Islam Hosiptal,Hospital,Health,"تقع Nasr el Islam Hosiptal في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3392842,30.0464585,3966612431,عيادة د. احمد العساف,Clinic,Health,"تقع عيادة د. احمد العساف في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.3415884,30.186327,3966621289,سجن المرج العمومي,Clinic,Health,"تقع سجن المرج العمومي في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.2008468,30.0650864,3966621290,مستشفي الواحة,Hospital,Health,"تقع مستشفي الواحة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
30.7949642,29.2383361,3966621291,د. احمد حسين نصر,Clinic,Health,"تقع د. احمد حسين نصر في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.5023277,30.5838996,3966621293,د. ايمن عبد الرحمن,Clinic,Health,"تقع د. ايمن عبد الرحمن في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.3213395,29.8599171,3966621667,مستشفي الهلال الأحمر المصري,Hospital,Health,"تقع مستشفي الهلال الأحمر المصري في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.4915372,30.5855544,3966621672,مستشفي المبرة,Hospital,Health,"تقع مستشفي المبرة في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3887808,30.1183131,3966621673,مجلس طبي وزارة الطيران المدنى,Hospital,Health,"تقع مجلس طبي وزارة الطيران المدنى في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.1969057,30.0526266,3966622154,ليزك مصر,Clinic,Health,"تقع ليزك مصر في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
30.859477,29.3106514,3966622155,مستشفي التامين الصحي بالفيوم,Hospital,Health,"تقع مستشفي التامين الصحي بالفيوم في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2163557,30.0154743,3966622156,معهد بحوث امراض الرمد,Hospital,Health,"تقع معهد بحوث امراض الرمد في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.3386349,30.105397,3966622220,د. فتحي فوزي,Clinic,Health,"تقع د. فتحي فوزي في القاهرة، مصر. نوع المنطقة: عام. البيانات من OpenStreetMap.",0
31.4744552,30.2561237,3966622817,عيادة التامين الصحي بالعبور (القليوبية),Hospital,Health,"تقع عيادة التامين الصحي بالعبور (القليوبية) في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
31.2154001,30.0154244,3966622857,معهد الرمد التذكاري للابحاث,Hospital,Health,"تقع معهد الرمد التذكاري للابحاث في القاهرة، مصر. نوع المنطقة: مستشفى. البيانات من OpenStreetMap.",0
